Title,Year,IMDb Rating,IMDb Votes
To All the Boys: Always and Forever,2021,6.3,"35,755"
Xico's Journey,2020,5.2,669
Red Dot,2021,5.5,"15,083"
Squared Love,2021,5.1,"3,909"
The Misadventures of Hedi and Cokeman,2021,4.5,769
Malcolm & Marie,2021,6.6,"42,160"
Space Sweepers,2021,6.5,"29,661"
"Strip Down, Rise Up",2021,5.5,751
The Yin-Yang Master: Dream of Eternity,2020,6.4,"5,516"
Below Zero,2021,6.2,"21,913"
Finding 'Ohana,2021,6.1,"11,975"
The Dig,2021,7.1,"84,823"
Accomplice,2020,7.2,425
Penguin Bloom,2020,6.8,"12,785"
The White Tiger,2021,7.1,"67,161"
Outside the Wire,2021,5.4,"46,325"
What Would Sophia Loren Do?,2021,6.6,883
Wish You,2021,6.4,"1,356"
Chris Rock Total Blackout: The Tamborine Extended Cut,2021,7.0,635
"Crack: Cocaine, Corruption & Conspiracy",2021,6.7,"3,949"
Charming,2018,5.6,"4,030"
Creating the Queen's Gambit,2021,6.8,776
Stuck Apart,2021,6.0,"11,513"
The Minimalists: Less Is Now,2021,5.9,"5,236"
What Happened to Mr. Cha?,2021,4.4,403
